core-keeper-dedicated
date,stream,content
2026/04/13 11:07:59,stdout,"[0;37mSending Discord json: {\"embeds\":[{\"title\":\"Server Stopped\",\"description\":\" stopped\",\"color\":12779520}]}[0m
"
2026/04/13 11:07:59,stderr,/home/steam/scripts/launch.sh: line 11:    55 Killed                  DISPLAY=:99 LD_LIBRARY_PATH="${LD_LIBRARY_PATH}:${STEAMCMDDIR}/linux64/" ./CoreKeeperServer "${params[@]}"

2026/04/13 11:07:57,stdout,PugDatabase initialized 2553 prefabs

2026/04/13 11:07:56,stdout,"BlunderBombExplosionEntity (UnityEngine.GameObject) has RotationAuthoring.rotatePhysics set to true, but no collider is present.
"
2026/04/13 11:07:54,stdout,"Converting 1 root objects for ServerWorld with 334 converters, 7 post-converters in staging world, and 4 post-converters in final world.
"
2026/04/13 11:07:54,stdout,ECSManager: converting authoring data for the server world.

2026/04/13 11:07:54,stdout,ECSManager: converting authoring data.

2026/04/13 11:07:54,stdout,ECSManager: removing worlds from the update loop.

2026/04/13 11:07:51,stdout,No mods have registered for ObjectCreated or ObjectDestroyed callbacks. Disabling ObjectCreatedSystem.

2026/04/13 11:07:49,stdout,StartGameRPCSystem OnCreate

2026/04/13 11:07:48,stdout,New season: Easter

2026/04/13 11:07:48,stdout,or by manually adding both systems to the same group's update list.

2026/04/13 11:07:48,stdout,"Make sure that both systems are in the same system group with [UpdateInGroup(typeof(Unity.Entities.SimulationSystemGroup))],
"
2026/04/13 11:07:48,stdout,This attribute can only order systems that are members of the same ComponentSystemGroup instance.

2026/04/13 11:07:48,stdout,Ignoring invalid [Unity.Entities.UpdateAfterAttribute] attribute on Unity.Entities.CompanionGameObjectUpdateTransformSystem targeting Unity.Transforms.TransformSystemGroup.

2026/04/13 11:07:47,stdout,PugDatabase initialized 2553 prefabs

2026/04/13 11:07:45,stdout,"BlunderBombExplosionEntity (UnityEngine.GameObject) has RotationAuthoring.rotatePhysics set to true, but no collider is present.
"
2026/04/13 11:07:42,stdout,"Converting 2554 root objects for Default World with 334 converters, 7 post-converters in staging world, and 4 post-converters in final world.
"
2026/04/13 11:07:41,stdout,ECSManager: Found 334 converter type(s)

2026/04/13 11:07:41,stdout,"src/steamnetworkingsockets/clientlib/steamnetworkingsockets_lowlevel.cpp (2764) : Assertion Failed: SteamnetworkingSockets service thread waited 81ms for lock!  This directly adds to network latency!  It could be a bug, but it's usually caused by general performance problem such as thread starvation or a debug output handler taking too long.
"
2026/04/13 11:07:41,stdout,Skipping loot mod /home/steam/core-keeper-dedicated/CoreKeeperServer_Data/StreamingAssets/Conf/Loot/Empty.json for loot table Empty (0)

2026/04/13 11:07:41,stdout,Skipping faction mod /home/steam/core-keeper-dedicated/CoreKeeperServer_Data/StreamingAssets/Conf/Factions/None.json with faction None (0)

2026/04/13 11:07:41,stdout,Old and new server gameid is the same

2026/04/13 11:07:41,stdout,PlatformConfiguration: applying PrefsManager session settings.

2026/04/13 11:07:41,stdout,PlatformConfiguration: applying PrefsManager audio settings.

2026/04/13 11:07:41,stdout,PlatformConfiguration: applying PrefsManager visual quality settings.

2026/04/13 11:07:41,stdout,PlatformConfiguration: applying settings for platform variant Linux.

2026/04/13 11:07:41,stdout,PlatformConfiguration: loading platform configuration for variant PC.

2026/04/13 11:07:41,stdout,PlatformConfiguration: platform configuration for variant Linux was not found.

2026/04/13 11:07:41,stdout,PlatformConfiguration: loading platform configuration for variant Linux.

2026/04/13 11:07:41,stdout,Job worker count is 3

2026/04/13 11:07:41,stdout,Core count is 4

2026/04/13 11:07:41,stdout,Start initializing all managers

2026/04/13 11:07:36,stdout,Global manager Resources.Load

2026/04/13 11:07:36,stdout,Initialize global manager

2026/04/13 11:07:36,stdout,Manager prelaunch and GO initialization starting...

2026/04/13 11:07:36,stdout,Checking system requirements: PASS

2026/04/13 11:07:33,stdout,UnloadTime: 2.882278 ms

